blue; azzurro	
raspberry; il lampone
redcurrant; il ribes rosso
strawberry; la fragola
watermelon; l’anguria f
onion; la cipolla
peas; i piselli
potato; la patata
radicchio; il radicchio
red pepper; il peperone rosso
spinach; gli spinaci
squash; la zucca
tomato; il pomodoro
fishmonger’s; dal pescivendolo
fishmonger; il pescivendolo
(fish)bone; la lisca
fillet; il filetto
filleted; fatto a filetti
roe; le uova di pesce
anchovy; l’acciuga f
cod; il merluzzo
herring; l’aringa f
lemon sole; la sogliola
clam; la vongola
crab; il granchio
crayfish; il gambero d’acqua dolce
scales; le squame
shellfish; il crostaceo
shell; il guscio
freshwater; d’acqua dolce
saltwater; di mare
mackerel; lo sgombro
salmon; il salmone
salt cod; la baccalà
sardine; la sardina
lobster; l’aragosta f
mussel; la cozza
octopus; il polipo
farmed; di allevamento
wild; selvatico
salted; salato
smoked; affumicato
deboned; spinato
sea bass; la spigola
sea bream; l’orata f
trout; la trota
tuna; il tonno
oyster; l’ostrica f
prawn; il gambero
scallop; la capasanta
sea urchin; il riccio
shrimp; il gamberetto
squid; il calamaro
butcher; il macellaio
meat; la carne
red meat; la carne rossa
white meat; la carne bianca
cold meats; gli affettati
beef; il manzo
pork; il maiale
lamb; l’agnello m
poultry; il pollame
duck; l’anatra f
goose; l’oca f
turkey; il tacchino
game; la cacciagione
veal; la carne di vitello
venison; la carne di cervo
offal; le frattaglie
cooked; cucinato
raw; crudo
roasted; arrostito
organic; biologico
free-range; ruspante
beefburger; l’hamburger m
chicken breast; il petto di pollo
chop; la costoletta
(cured) sausage; il salame
ham; il prosciutto
hog roast; la porchetta
joint; il tocco di carne
mince; la carne tritata
mortadella; la mortadella
pancetta; la pancetta
sausage; la salsiccia
steak; la bistecca
bakery and patisserie; panetteria e pasticceria
baker; il fornaio
bread il pane; wholemeal bread il pane integrale
loaf; la pagnotta
slice; la fetta
crust; la crosta
flour; la farina
gluten-free; senza glutine
to bake; cuocere al forno
almond biscuits; i biscotti di mandorle
amaretti biscuits; gli amaretti
bread rolls; i panini
cake; la torta
ciabatta; la ciabatta
croissant; il cornetto
custard-filled croissant; il cornetto alla crema
doughnut; la bomba
éclair; il bignè
focaccia; la focaccia
lattice-top pie; la crostata
panettone; il panettone
cheese shop; il negozio di formaggi
cheese; il formaggio
blue cheese; il formaggio erborinato
sheep’s-milk cheese; il formaggio di pecora
cow’s-milk cheese; il formaggio di mucca
cream cheese; il formaggio spalmabile
smoked cheese; il formaggio affumicato
hard cheese; il formaggio a pasta dura
burrata; la burrata
caciocavallo; il caciocavallo
caciotta; la caciotta
Emmenthal; l’emmental m
fontina; la fontina
goat’s cheese; il formaggio di capra
gorgonzola; il gorgonzola
mascarpone; il mascarpone
mozzarella; la mozzarella
Parmesan; il parmigiano
pecorino; il pecorino
provolone; il provolone
ricotta; la ricotta
scamorza; la scamorza
taleggio; il taleggio
egg white; l’albume m
egg yolk; il tuorlo
UHT milk; il latte a lunga conservazione
whole milk; il latte intero
semi-skimmed milk; il latte parzialmente scremato
skimmed milk; il latte scremato
double cream; la panna intera
single cream; la panna semigrassa
pasteurized pastorizzato; unpasteurized non pastorizzato
free-range; di gallina ruspante
dairy-free; senza lattosio
butter; il burro
cream; la panna
eggs; le uova
margarine; la margarina
milk; il latte
yoghurt; lo yogurt
pharmacist; il farmacista
prescription; la ricetta
cold; il raffreddore
diarrhoea; la diarrea
antiseptic cream; la crema antisettica
bandage; la fasciatura
capsule; la capsula
condom; il preservativo
antiperspirant; l’antitraspirante m
conditioner; il balsamo
mouthwash; il collutorio
hay fever; la febbre da fieno
asthma; l’asma f
headache; il mal di testa
sore throat/stomach; il mal di gola / stomaco
cough mixture; lo sciroppo per la tosse
drops; le gocce
insect repellent; l’insettifugo m
lozenge; la losanga
razor; il rasoio
sanitary towel; l’assorbente m
shampoo; lo shampoo
antihistamine; l’antistaminico m
antiseptic; l’antisettico m
decongestant; il decongestionante
painkiller; l’antidolorifico m
medicine; la medicina
plaster; il cerotto
suntan lotion; la crema solare
tablet/pill; la pastiglia
shaving foam; la schiuma da barba
shower gel; il bagnoschiuma
soap; il sapone
tampon; l’assorbente interno m
blusher; il fard
comb; il pettine
eyeliner; l’eye liner m
eyeshadow; l’ombretto m
toothbrush; lo spazzolino da denti
foundation; il fondotinta
hairbrush; la spazzola per capelli
hairspray; lo spray per capelli
lip balm; il burro cacao
toothpaste; il dentifricio
lipstick; il rossetto
mascara; il mascara
nail varnish; lo smalto per le unghie
powder; la terra
baby goods; prodotti per bambini
sterilizer; lo sterilizzatore
disposable nappy; il pannolino usa e getta
nappy sacks; i sacchetti per pannolini
teething gel; il gel dentizione
nappy rash; l’eritema da pannolino f
colic; la colica
to sterilize; sterilizzare
to be teething; mettere i denti
to breast-feed; allattare
babygro®/sleepsuit; la tutina
bib; il bavaglino
baby food; gli omogeneizzati
baby lotion; la crema per bambini
baby’s bottle; il biberon
changing bag; la borsa per il cambio
baby bath; la vaschetta per il bagnetto
baby seat; il sedile per bambini
baby walker; il girello
cot; il lettino
bootees; le scarpine
mittens; le muffole
cotton bud; il cotton fioc
cotton wool; l’ovatta f
formula milk; il latte in polvere
nappy; il pannolino
dummy; il ciuccio
highchair; il seggiolone
mobile; la giostrina
Moses basket; la culla di vimini
snowsuit; il pagliaccetto
vest; la canottiera
nappy cream; la crema per eritema / da pannolino
rusk; il biscotto
talcum powder; il borotalco
wet wipes; le salviette / umidificate
pram; la carrozzina
pushchair; il passeggino
teething ring; l’anello da dentizione m
travel cot; il lettino da viaggio
broadsheet; il giornale
tabloid; il giornale scandalistico
kiosk; il chiosco
book; il libro
cigar; il sigaro
cigarette; la sigaretta
comic book; il libro di fumetti
confectionery; i dolciumi
envelope; la busta
stationery; la cartoleria
tickets; i biglietti
tobacconist; la tabaccheria
greetings card; il biglietto d’auguri
magazine; la rivista
map; la mappa
newspaper; il giornale
notebook; il taccuino
pen; la penna
vendor; il venditore
daily; giornaliero
weekly; settimanale
pencil; la matita
postcard; la cartolina
puzzle book; il libro di enigmistica
scratch card; il gratta e vinci
stamp; il francobollo
tobacco; il tabacco
department store; grande magazzino
floor; il piano
escalator; la scala mobile
lift; l’ascensore m
toilets; la toilette
counter; il bancone
department; il reparto
menswear; l’abbigliamento uomo m
womenswear; l’abbigliamento donna m
sportswear; l’abbigliamento sportivo m
swimwear; i costumi da bagno
brand; la marca
designer; di marca
luxury; di lusso
sale; i saldi
accessories; gli accessori
cosmetics; i cosmetici
fashion; la moda
food and drink; cibo e bevande
footwear; le calzature
furniture; i mobili
kitchenware; gli utensili da cucina
leather goods; gli articoli in pelle
lighting; l’illuminazione f
lingerie; la biancheria intima
soft furnishings; i tessuti d’arredo
toys; i giocattoli
clothing and footwear; vestiti e scarpe
fitting room; il camerino
clothes/clothing; gli abiti
shoes/footwear; le calzature
underwear; l’abbigliamento intimo m
wallet; il portafoglio
purse; il borsellino
jewellery; i gioielli
bikini; il bikini
blouse; la camicetta
boxer shorts; i boxer
bra; il reggiseno
cardigan; il cardigan
coat; il cappotto
umbrella; l’ombrello m
casual; casual
smart; elegante
wool; la lana
denim; il denim
cotton; il cotone
polyester; il poliestere
dress; l’abito m
dressing gown; la vestaglia
jacket; la giacca
jeans; i jeans
jogging bottoms; la tuta da ginnastica
jumper; il maglione
leather; la pelle
silk; la seta
size (clothing); la taglia
size (shoe); il numero
petite; petite
plus-size; taglie forti
to try on; provare
leggings; i pantacollant
pants; le mutande
pyjamas; il pigiama
shirt; la camicia
shorts; i calzoncini
skirt; la gonna
socks; i calzini
sweatshirt; la felpa
swimsuit; il costume da bagno
baseball cap; il berretto con visiera
belt; la cinta
bracelet; il bracciale
boots; gli stivali
high heels; i tacchi alti
(three-piece) suit; l’abito (a tre pezzi) m
tie; la cravatta
tights; il collant
earrings; gli orecchini mpl
gloves; i guanti
handbag; la borsa
lace-up shoes; le scarpe stringate
sandals; i sandali
trousers; i pantaloni
T-shirt; la T-shirt
waterproof jacket; la giacca impermeabile
necklace; la collana
scarf; la sciarpa
woolly hat; il cappello di lana
slippers; le pantofole
trainers; le scarpe da ginnastica
diy store; ferramenta
tool; l’utensile m
tool box; la cassetta degli attrezzi
power tool; l’utensile elettrico m
electricity; l’elettricità f
joinery; la carpenteria
home improvements; il fai da te
painting; l’imbiancatura f
plumbing; la piombatura
to do DIY; faire il fai da te
chisel; lo scalpello
electric drill; il trapano elettrico
hammer; il martello
nails; i chiodi
nuts and bolts; i dadi e bulloni
paint; la vernice
paintbrush; il pennello
paint roller; il rullo per verniciare
pliers; le pinze
saw; la sega
screwdriver; il cacciavite
screws; le viti
spanner; il chiave inglese
spirit level; la livella
stepladder; la scala a libretto
tiles; le mattonelle
wallpaper; la carta da parati
wrench; la chiave
antique shop; l’antiquariato m
barber’s; il barbiere
beauty salon; il salone di bellezza
bookshop; la libreria
boutique; la boutique
car showroom; l’autosalone m
deli; la pizzicheria
electronics store; il negozio di elettronica
estate agency; l’agenzia immobiliare f
florist’s; il fioraio
furniture store; il negozio di mobili
garden centre; il vivaio
hairdresser’s; il parrucchiere
health food shop; il negozio di alimenti naturali
jeweller’s shop; l’orefice m
optician’s; l’ottico m
pet shop; il negozio di animali
phone shop; il negozio di telefoni
record shop; il negozio di musica
shoe shop; il negozio di scarpe
shopping mall; il centro commerciale
toyshop; il negozio di giocattoli
travel agency; l’agenzia viaggi f
wine shop; l’enoteca f
day-to-day; espressioni di vita quotidiana
coffee with milk; il caffè e latte
handle; l’ansa f
cup; la tazza
saucer; il piattino
to wake up; svegliarsi
to get dressed; vestirsi
to eat; mangiare
to drink; bere
to arrive; arrivare
to leave; partire
to study; studiare
to work; lavorare
to meet friends; incontrare gli amici
to go home; andare a casa
to go to bed; andare a letto
breakfast; la colazione
bread and butter; pane con burro
cappuccino; il cappuccino
coffee; il caffè
bread rolls; i panini
butter; il burro
cereal; i cereali
to have breakfast; fare colazione
espresso; l’espresso m
hot chocolate; la cioccolata calda
chocolate spread; la cioccolata da spalmare
crispbread; la fetta biscottata
croissant; il cornetto
to skip breakfast; saltare la colazione
orange juice; il succo d’arancia
tea; il tè
fruit salad; la macedonia
jam; la marmellata
muesli; il muesli
main meals; i pasti principali
lunch; il pranzo
dinner; la cena
courses; le portate
assorted cold meats and cheeses; gli affettati e formaggi misti
cream soup; la vellutata
fish soup; la zuppa di pesce
lasagne; le lasagne
grilled sea bream; l’orata alla griglia f
meatballs in tomato sauce; le polpette al sugo
meat roulade; il rollè m
recipe; la ricetta
aperitif; l’aperitivo m
after-dinner drink; il digestivo
deep-fried rice balls; gli arancini
fried courgette flowers; i fiori di zucca in pastella
pasta; la pasta
risotto; il risotto
pork cutlet; la costoletta di maiale
roast chicken; il pollo al forno
sliced beef; la fettina di manzo
to have lunch; pranzare
to have dinner; cenare
to eat out; mangiare fuori
mixed seafood; il piatto misto di mare
smoked salmon; il salmone affumicato
soup; la zuppa
tortellini; i tortellini
sliced veal in tuna sauce; il vitello tonnato
sirloin steak; la bistecca
veal wrapped in Parma ham and sage; il saltinbocca
chips; le patatine fritte
green salad; l’insalata verde f
mixed salad; l’insalata mista f
apple cake; la torta di mele
chocolate mousse; la mousse al cioccolato
custard tart with pine nuts; la torta della nonna
roast potatoes; le patate arrosto
spinach with lemon and olive oil; gli spinaci all’agro
fruit tart; la crostatina alla frutta
ice cream; il gelato
pannacotta; la panna cotta
stir-fried chicory; la cicoria ripassata in padella
parfait; il semifreddo
profiteroles; i profiteroles
tiramisu; il tiramisù
set menu; il menù fisso
daily specials; le specialità del giorno
service charge; il coperto
tip; la mancia
vegetarian; vegetariano
vegan; vegetaliano
gluten-free; senza glutine
dairy-free; senza lattosio
to reserve a table; prenotare un tavolo
to order; ordinare
to ask for the bill; chiedere il conto
to be served; essere servito
bar; il bancone
bill; il conto
bread basket; il cestino del pane
chair; la sedia
cheese knife; il coltello da formaggio
table setting; side plate il piattino
butter knife; il coltello da burro
dessert fork; la forchetta da dolce
dessert spoon; il cucchiaio da dolce
water glass; il bicchiere per l’acqua
fish knife; il coltello da pesce
jug of water; la caraffa d’acqua
menu; il menù
salt and pepper; il sale e il pepe
steak knife; il coltello da carne
white wine glass; il bicchiere da vino bianco
napkin; il tovagliolo
fork; la forchetta
soup bowl; il piatto fondo
table; il tavolo
tablecloth; la tovaglia
toothpicks; gli stuzzicadenti
vinegar and oil; l’aceto e l’olio m
waiter/waitress; il cameriere / la cameriera
dinner plate; il piatto piano
knife; il coltello
soup spoon; il cucchiaio da minestra
red wine glass; il bicchiere da vino rosso
fast food; il fast food
fast-food chain; la catena di fast food
food stall; il banco
vendor; il venditore / la venditrice
drive-thru; il drive-in
an order to go/ a takeaway; un ordine a portar via
delivery charge; le spese di spedizione
delivery man/woman; l’addetto alle consegne m / l’addetta alle consegne f
to place an order; ordinare
to collect an order; prendere un’ordinazione
to phone in an order; ordinare per telefono
burger; l’hamburger m
fries; le patatine fritte
hot dog; l’hot dog m
omelette; l’omelette f
pancakes; le crêpes
panini; il panino
pizza; la pizza
sushi; il sushi
toasted sandwich; il toast
communication and it; la comunicazione e l’informatica
post; il messaggio
social media; i social media
email; l’email f
email address; l’indirizzo email m
internet; il internet
WiFi; il wi-fi
website; il sito web
link; il link
icon; l’icona f
mouse; il mouse
mouse mat; il tappetino mouse
keyboard; la tastiera
app; l’applicazione f
data; i dati
mobile phone; il (telefono) cellulare
landline; il telefono fisso
phone call; la telefonata
text message; il messaggio SMS
phone signal; il segnale telefonico
voice mail; la segreteria telefonica
touchscreen; lo schermo tattile
screen; il monitor
button; il tasto
battery; la batteria
cable; il cavo
to make a phone call; fare una telefonata
to leave a voice mail; lasciare un messaggio in segreteria
to post (online); postare
to download/upload; scaricare / caricare
to charge your phone; ricaricare il telefono
to switch on/off; accendere / spegnere
to click on; cliccare su
charger; il caricabatterie
computer; il computer
SIM card; la SIM
smartphone; lo smartphone
tablet; il tablet
wireless router; il router senza fili
education; l’istruzione
nursery school; la scuola materna
primary school; la scuola elementare
secondary school; la scuola secondaria di primo e di secondo grado
college; l’università f
university; l’università f
headteacher; il preside
teacher; il professore / la professoressa
janitor; il bidello / la bidella
pupil; l’alunno m / l’alunna f
classroom; la classe
timetable; l’orario m
lesson; la lezione
lecture; la lezione
tutorial; la lezione
assignment; l’assegnazione f
homework; i compiti
exam; l’esame m
degree; la laurea
undergraduate; l’universitario m / l’universitaria f
postgraduate; il postlaureato / la postlaureata
canteen; la mensa
assembly hall; l’aula magna f
playing field; il campo da gioco
halls of residence; gli alloggi per studenti universitari
matriculation card; la carta di immatricolazione
student union; l’associazione studentesca f
to learn; imparare
to read; leggere
to write; scrivere
to teach; insegnare
to revise; rivedere
to sit an exam; sostenere un esame
to graduate; laurearsi
to study; studiare
colouring pencils; le matite colorate
eraser; la gomma da cancellare
exercise book; il quaderno
paper; la carta
cafeteria; la caffetteria
campus; il campus
pen; la penna
pencil; la matita
pencil case; l’astuccio m
ruler; il righello
lecture hall; l’aula f
lecturer; il docente
schoolbag; lo zaino
sharpener; il temperamatite
textbook; il libro di testo
whiteboard; la lavagna bianca
library; la biblioteca
student; lo studente / la studentessa
the office; l’ufficio
manager; il direttore / la direttrice
staff; il personale
colleague; il collega / la collega
client; il cliente
human resources; le risorse umane
accounts; la contabilità
figures; le cifre
spreadsheet; il foglio elettronico
presentation; la presentazione
report; la relazione
meeting; la riunione
conference call; la teleconferenza
video conference; la videoconferenza
ink cartridge; la cartuccia d’inchiostro
inbox; la posta in arrivo
file; il file
attachment; l’allegato m
username; il nome utente
password; la password
to log on/off; connettersi / disconnettersi
to type; battere (a macchina)
to give a presentation; fare una presentazione
to hold a meeting; organizzare una riunione
calculator; la calcolatrice
desk; la scrivania
desk lamp; la lampada da tavolo
filing cabinet; lo schedario
folder; la cartella
hole punch; la perforatrice
in/out tray; la vaschetta porta– corrispondenza
laptop; il portatile
notepad; il taccuino
paper clip; la graffetta
photocopier; la fotocopiatrice
printer; la stampante
ring binder; il raccoglitore ad anelli
scanner; lo scanner
scissors; le forbici
stapler; la spillatrice
sticky notes; i Post-it
sticky tape; lo scotch
swivel chair; la sedia girevole
telephone; il telefono
USB stick; la chiavetta USB
branch; la filiale
cashier; il cassiere / la cassiera
online banking; i servizi bancari online
bank account; il conto bancario
current account; il conto corrente
savings account; il libretto di risparmio
account number; il numero di conto
bank statement; l’estratto conto m
bank balance; il saldo bancario
overdraft; lo scoperto
bank transfer; il bonifico bancario
chequebook; il blocchetto degli assegni
currency; la moneta
loan; il prestito
mortgage; il mutuo
interest; l’interesse m
to borrow; prendere in prestito
to repay; ripagare
to withdraw; prelevare
to change money; cambiare dei soldi
ATM; lo sportello bancomat
banknotes; le banconote
bureau de change; l’ufficio di cambio m
debit/credit card; la carta di debito / credito
exchange rate; il tasso di cambio
safety deposit box; la cassetta di sicurezza
the post office; l’ufficio postale
address; l’indirizzo m
first-class; la posta prioritaria
second-class; la posta ordinaria
postal van; il furgone della posta
courier; il corriere
mail; la posta
airmail; la posta aerea
to post imbucare; to send inviare
box; la scatola
envelope; la busta
letter; la lettera
package; il pacco
padded envelope; la busta imbottita
postal worker; l’impiegato postale m / l’impiegata postale f
postbox; la buca delle lettere
postcard; la cartolina
stamp; il francobollo
in town; in città
café; il bar
cathedral; la cattedrale
church; la chiesa
conference centre; il centro conferenze
courthouse; il tribunale
fire station; la caserma dei vigili del fuoco
fountain; la fontana
hospital; l’ospedale m
hotel; l’albergo m
laundrette; la lavanderia
library; la biblioteca
mosque; la moschea
office block; gli uffici
park; il parco
playground; il parco giochi
police station; il commissariato
synagogue; la sinagoga
town hall; il municipio
leisure; il tempo libero
tent; la tenda
guy rope; la corda da campeggio
flysheet; il telone esterno
groundsheet; il telone impermeabile
tent peg; il picchetto da tenda
spare time; il tempo libero
activity; le attività
hobby; l’hobby m
pastime; il passatempo
holiday; la vacanza
keen; entusiasta
fun; divertente
boring; noioso
to be interested in; essere interessato a
to pass the time; passare il tempo
to relax; rilassarsi
to enjoy oneself; divertirsi
to get bored; annoiarsi
cooking; la cucina
DIY; il fai da te
gaming; giocare ai videogiochi
gardening; il giardinaggio
jogging; il jogging
listening to music; ascoltare la musica
reading; la lettura
shopping; fare shopping
sports; lo sport
travelling; il viaggio
walking; il camminare
watching TV/films; guardare la TV / i film
sightseeing; visite turistiche
tourist; il turista
tourist attraction; l’attrazione turistica f
excursion; l’escursione f
nature reserve; la riserva naturale
historic site; il sito storico
audio guide; l’audio-guida f
guided tour; la visita guidata
to visit; visitare
to see; vedere
art gallery; la galleria d’arte
camera; la macchinetta fotografica
castle; il castello
cathedral; la cattedrale
city map; la mappa della città
gardens; i giardini
guidebook; la guida
monument; il monumento
museum; il museo
sightseeing bus; l’autobus turistico m
tour guide; la guida turistica
tourist office; l’ufficio turistico m
evenings out; serate fuori
a drink; un drink
nightlife; la vita notturna
party; la festa
show; lo spettacolo
film; il film
festival; il festival
box office; la biglietteria
to socialize; socializzare
to order food/drinks; ordinare da mangiare / da bere
to see a show; vedere uno spettacolo
to watch a film; guardare un film
to go dancing; andare a ballare
to enjoy oneself; divertirsi
ballet; la danza classica
bar; il locale
carnival; il carnevale
casino; il casinò
cinema; il cinema
comedy show; lo spettacolo comico
concert; il concerto
funfair; il luna park
musical; il musical
nightclub; il night
opera; l’opera f
restaurant; il ristorante
theatre; il teatro
bed and breakfast; il bed and breakfast
full board; la pensione completa
half board; la mezza pensione
room service; il servizio in camera
wake-up call; la sveglia
room number; il numero di camera
per person per night; per persona per notte
to check in; fare il check in
to check out; fare il check out
to order room service; ordinare il servizio in camera
corridor; il corridoio
“do not disturb” sign; il cartellino “non disturbare”
double room; la camera doppia
key card; la tessera magnetica
minibar; il minibar
porter; il facchino
reception; la reception
receptionist; il receptionist
safe; la cassaforte
single room; la camera singola
toiletries; gli articoli da toilette
twin room; la camera doppia con letti singoli
camping; il camping
campsite; il campeggio
pitch; il campo
electricity hook-up; il cavo di allacciamento elettrico
toilet/shower block; i servizi igienici
camper; il campeggiatore / la campeggiatrice
caravanner; il roulottista
to camp; accamparsi
to pitch a tent; montare una tenda
to take down a tent; smontare una tenda
to go caravanning; andare in roulotte
air bed; il materassino
barbecue; la griglia
camping stove; il fornello da campeggio
caravan; il caravan
cool box; il frigo portatile
fold-up chair; la sedia pieghevole
matches; i fiammiferi
motorhome; il camper
picnic blanket; la coperta da picnic
sleeping bag; il sacco a pelo
tent; la tenda
torch; la torcia
the beach; la spiaggia
“No swimming.”; “Divieto di balneazione.”
bathing zone; la zona di balneazione
lifeguard station; la postazione del bagnino
suntan; l’abbronzatura f
to sunbathe; prendere il sole
to swim; nuotare
sand; la sabbia
sea; il mare
beach ball; il pallone da spiaggia
beach hut; la cabina da spiaggia
bikini; il bikini
bucket and spade; il secchiello e la paletta
deckchair; la sdraio
flip-flops; le ciabatte infradito
waves; le onde
parasol; l’ombrellone m
flippers; le pinne
promenade; il lungomare
sandcastle; il castello di sabbia
seashells; le conchiglie
seaweed; l’alga marina f
snorkel; il boccaglio
sunbed; il lettino da spiaggia
beach towel; l’asciugamano da mare m
sunglasses; gli occhiali da sole
sunhat; il cappello da sole
suntan lotion; la crema solare
swimming trunks; il costume da bagno
swimsuit; il costume da bagno
windbreak; il paravento
music; la musica
DJ; il DJ
CD; il CD
vinyl record; il disco in vinile
microphone; il microfono
song; la canzone
band; il gruppo
singer-songwriter; il cantautore
live music; la musica dal vivo
gig; il concerto
pop; il pop
rock; il rock
Bluetooth® speaker; l’altoparlante Bluetooth® m
earphones; gli auricolari
hip-hop; la musica hip-hop
rap; il rap
classical music; la musica classica
folk music; la musica popolare
to play an instrument; suonare uno strumento
headphones; le cuffie
soundbar; il sistema SoundBar
to sing; cantare
to listen to music; ascoltare la musica
to go to gigs; andare ai concerti
to stream music; ascoltare musica in streaming
speakers; gli altoparlanti
turntable; il giradischi
accordion; la fisarmonica
acoustic guitar; la chitarra acustica
bass drum; la grancassa
bass guitar; il basso
cello; il violoncello
clarinet; il clarinetto
cymbals; i piatti
double bass; il contrabbasso
electric guitar; la chitarra elettrica
flute; il flauto
harp; l’arpa f
keyboard; la tastiera
mouth organ; l’armonica a bocca f
piano; il pianoforte
saxophone; il sassofono
snare drum; il tamburo rullante
trombone; il trombone
trumpet; la tromba
tuba; la tuba
choir; il coro
conductor; il direttore d’orchestra 
violin; il violino
musician; il musicista / la musicista
orchestra; l’orchestra f
xylophone; lo xilofono
sheet music; lo spartito
singer; il cantante / la cantante
photography; fotografia
photographer; il fotografo
photo; la foto
photo album; l’album di foto m
close-up; il primo piano
selfie; il selfie
selfie stick; il bastone per i selfie
to take a photo/selfie; fare una foto / un selfie
to upload a photo; caricare una foto
to zoom; in zumare
camera lens; la lente
compact camera; la macchina fotografica compatta
drone; il drone
DSLR camera; la macchina fotografica DSLR
SD card; la scheda SD
tripod; il treppiede
games; i giochi
player; il giocatore
charades; il gioco dei mimi
hide and seek; il nascondino
skittles; i birilli
solitaire; il solitario
poker; il poker
hand (in cards); la mano
video game; il videogioco
games console; la console
game controller; il controller
joystick; il joystick
virtual reality headset; il visore per la realtà virtuale
to play; giocare
to roll the dice; tirare i dadi
to win; vincere
to lose; perdere
to play tag; giocare ad acchiapparella
backgammon; il tric-trac
board game; il gioco da tavolo
bowling; il bowling
cards; le carte
chess; gli scacchi
counters; i segnalini
crossword; il cruciverba
darts; le freccette
dice; i dadi
dominoes; il domino
draughts; la dama
jigsaw puzzle; il puzzle
arts and crafts; arti e mestieri
handicrafts; l’artigianato m
craft fair; la fiera dell’artigianato
cardboard; il cartone
glue; la colla
collage; il collage
embroidery; il ricamo
art materials; canvas la tela
easel; il cavalletto
ink; l’inchiostro m
oil paint; la pittura a olio
artist; l’artista m
dressmaker; il sarto / la sarta
amateur; dilettante
to paint; dipingere
jewellery-making; la gioielleria
model-making; il modellismo
paintbrush; il pennello
palette; la tavolozza
paper; la carta
pastels; i pastelli
to sketch; fare uno schizzo
to sew; cucire
to knit; fare la maglia
to be creative; essere creativo
pottery; la ceramica
woodwork; la carpenteria
pen; la penna
pencil; la matita
sketchpad; l’album per schizzi m
watercolours; gli acquerelli
ball of wool; il gomitolo di lana
buttons; i bottoni
crochet hook; l’uncinetto m
fabric; il tessuto
fabric scissors; le forbici da tessuto
knitting needles; i ferri da maglia
needle and thread; l’ago e il filo m
pins; gli spilli
safety pin; la spilla da balia
sewing basket; il cestino del cucito
sewing machine; la macchina da cucire
tape measure; il metro a nastro
sport; lo sport
football pitch; il campo da calcio
penalty box; l’area di rigore f
centre circle; il cerchio di centrocampo
goal; la porta
tournament; il torneo
competition; la competizione
league; la lega
champion; il campione / la campionessa
competitor; il concorrente / la concorrente
teammate; il compagno di squadra /
la compagna; di squadra
coach; l’allenatore m / l’allenatrice f
manager; il manager
match; la partita
points; i punti
to coach; allenare
to compete; competere
to score; segnare
to win; vincere
to lose; perdere
to draw; pareggiare
leisure centre; il centro sportivo
medal; la medaglia
official; l’arbitro m
podium; il podio
referee; l’arbitro m
scoreboard; il tabellone segnapunti
spectators; gli spettatori
sportsperson; lo sportivo / la sportiva
stadium; lo stadio
stands; le tribune
team; la squadra sportiva
trophy; il trofeo
wellbeing; il benessere
gym; la palestra
gym membership; l’iscrizione in palestra m
personal trainer; il personal trainer
exercise class; la lezione di ginnastica
changing room; lo spogliatoio
cross trainer; il cross trainer
dumbbells; i manubri
exercise bike; la cyclette
Pilates; il Pilates
yoga; lo yoga
press-ups; le flessioni
sit-ups; gli addominali
running; la corsa
gym ball; la palla da ginnastica
kettle bell; il kettlebell
locker; l’armadietto m
rowing machine; il vogatore
walking; il camminare
to exercise; fare esercizio
to keep fit; mantenersi in forma
to go for a run; andare a correre
to go to the gym; andare in palestra
showers; le docce
skipping rope; la corda
treadmill; il tapis roulant
weightlifting bench; la panca
football; il calcio
defender; il difensore
striker; l’attaccante m
substitute; la riserva
kick-off; il calcio d’inizio
half-time; l’intervallo m
full-time; la fine della partita
extra time; i tempi supplementari
injury time; i minuti di recupero
free kick; il calcio di punizione
header; il colpo di testa
save; la parata
foul; il rigore
tackle; il contrasto
offside; il fuori gioco
penalty kick; il calcio di rigore
penalty box; l’area di rigore f
to play football; giocare a calcio
to kick; calciare
to tackle; contrastare
to pass the ball; passare la palla
to score a goal; fare gol
assistant referee; il guardalinee
football; il pallone da calcio
football boots; gli scarpini da calcio
football match; la partita di calcio
football pitch; il campo da calcio
football player; il calciatore
goal; la porta
goalkeeper; il portiere
goalkeeper’s gloves; i guanti da portiere
shin pads; i parastinchi
whistle; il fischietto
yellow/red card; il cartellino giallo / rosso
rugby; il rugby
rugby league/union; il rugby a tredici / quindici
forward; l’avanti m
back; il tre quarti
try; la meta
conversion; la trasformazione
penalty kick; il calcio di rigore
drop goal; il goal di rimbalzo
tackle; il placcaggio
pass; il passaggio
to play rugby; giocare a rugby
to tackle; placcare
to score a try; segnare una meta
rugby; il rugby
rugby ball; il pallone da rugby
rugby field; il campo di rugby
(rugby) goalposts; i pali di porta
rugby player; il rugbista
scrum; la mischia
basketball; la pallacanestro
wheelchair basketball; la pallacanestro in carrozzina
slam dunk; la schiacciata
free throw; il tiro libero
to play basketball; giocare a pallacanestro
to catch; prendere
to throw; tirare
to dribble; palleggiare
to block; bloccare
to mark a player; marcare un giocatore
basket; il canestro
basketball; la palla da pallacanestro
basketball court; il campo da pallacanestro
basketball game; la partita di pallacanestro
basketball player; il giocatore di pallacanestro
basketball shoes; le scarpe da pallacanestro
racket sports; gli sport di racchetta
ace; l’ace m
serve; il servizio
backhand; il rovescio
forehand; il dritto
fault; il fallo
badminton; il badminton
squash; lo squash
net; la rete
rally; il palleggio
singles; il singolo
doubles; il doppio
top seed; il numero uno
badminton racket; la racchetta da badminton
squash ball; la pallina da squash
to play tennis; giocare a tennis
